date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:19	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225851d53d-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:27:21	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225851d53d-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:27:25	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225851d53d-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:27:28	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225851d53d-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:27:36	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225851d53d-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:27:59	178520/178520	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
16:28:01	180492/180492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
16:28:01	222492/222492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
16:28:02	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-7.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-7.33.delayed	(from http://findmatthew.com/style/style.css)
16:28:02	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-8.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-8.34.delayed	(from http://findmatthew.com/style/style.css)
16:28:03	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-9.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-9.35.delayed	(from http://findmatthew.com/style/style.css)
16:28:04	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-10.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-10.36.delayed	(from http://findmatthew.com/style/style.css)
16:28:04	179244/179244	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
16:28:04	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-11.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-11.37.delayed	(from http://findmatthew.com/style/style.css)
16:28:05	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/thumb-12.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-12.38.delayed	(from http://findmatthew.com/style/style.css)
16:28:23	491716/491716	---M--	200	added ('OK')	image/png	etag:%225851d53d-780c4%22	http://findmatthew.com/img/filler.png	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
